@relation E1_Year1CGPA_FinalClean

@attribute Faculty {"EEE","CSE","ME","Others","CE","ECE"}
@attribute CurrentInstitution {"UIU","KUET","Others","RUET","KU","CU","NSU","IUBAT","BRAC","SEU","AIUB","BUET","SUST","CUET","DU"}
@attribute HSCGraduationYear NUMERIC
@attribute Gender {"Male (পুরুষ)","Female (নারী)"}
@attribute CollegeCategory {"Public (সরকারি)","Private (বেসরকারি)"}
@attribute CollegeLocation {"Rural area (Village) (গ্রামাঞ্চল)","Urban area (City) (শহরাঞ্চল)","Metropolitan city (বিভাগীয় শহর/মহানগর)","Semi-urban area (আধা-নগর এলাকা)"}
@attribute HSCLearningSource {"College classes (কলেজ ক্লাস)","Private tuition/coaching (কোচিং সেন্টার/প্রাইভেট টিউটর)","Online Platforms / YouTube (অনলাইন প্ল্যাটফর্ম/ইউটিউব)","Both equally (উভয়ই সমানভাবে)","Self-study (স্ব-অধ্যয়ন)"}
@attribute CollegeAttendance {"Very rarely (Below 25%) (খুবই কম (২৫%-এর নিচে))","Regularly (75–89%) (নিয়মিত (৭৫–৮৯%))","Very regularly (90–100% attendance) (খুব নিয়মিত (৯০–১০০% উপস্থিতি))","Rarely (25–49%) (কদাচিৎ / খুব কম (২৫–৪৯%))","Occasionally (50–74%) (মাঝে মাঝে (৫০–৭৪%))"}
@attribute HSCMath {"190 - 200 (১৯০ - ২০০)","120 - 140 (১২০ - ১৪০)","160 - 190 (১৬০ - ১৯০)","< 120 (< ১২০)","140 - 160 (১৪০ - ১৬০)"}
@attribute HSCPhysics {"< 120 (< ১২০)","190 - 200 (১৯০ - ২০০)","120 - 140 (১২০ - ১৪০)","160 - 190 (১৬০ - ১৯০)","140 - 160 (১৪০ - ১৬০)"}
@attribute HSCChemistry {"140 - 160 (১৪০ - ১৬০)","190 - 200 (১৯০ - ২০০)","120 - 140 (১২০ - ১৪০)","160 - 190 (১৬০ - ১৯০)","< 120 (< ১২০)"}
@attribute FamilyMembers {"8 and above (৮ এবং তদূর্ধ্ব)","3 (৩)","4 - 5 (৪ - ৫)","6 - 7 (৬ - ৭)","2 (২)"}
@attribute BirthOrder {"Last Child","First-child","Middle child","Others"}
@attribute HouseholdIncomeYearly {"Less than 5  Lakhs (৫ লাখের কম)","10- 18 Lakhs (১০ - ১৮ লাখ)","5 - 10 Lakhs (৫ - ১০ লাখ)","Above 18 Lakhs (১৮ লাখের উপরে)"}
@attribute HSCMonthlyExpenditure {"Above 30,000 (৩০,০০০ এর উপরে)","Less than 5,000 (৫,০০০ এর কম)","10,000 - 20,000 (১০,০০০ - ২০,০০০)","5,000 - 10,000 (৫,০০০ - ১০,০০০)","20,000 - 30,000 (২০,০০০ - ৩০,০০০)"}
@attribute InternetAvailability {"WIFI Connectivity (উচ্চগতির ওয়াইফাই)","Mobile Data (মোবাইল ডাটা)","Mobile Data with limited Access (সীমিত সুবিধা)","Unavailable (ইন্টারনেট সুবিধা ছিল না)"}
@attribute ComputerAvailability {"Unavailable (ছিল না)","Available (সহজলভ্য)"}
@attribute Year1CGPA {"Above 3.75 (৩.৭৫ এর উপরে)","3.00 - 3.25 (৩.০০ - ৩.২৫)","3.25 - 3.50 (৩.২৫ - ৩.৫০)","3.50 - 3.75 (৩.৫০ - ৩.৭৫)","Less than 3.00 (৩.০০ এর কম)"}
@attribute UniversityPreferenceOrder {"5th choice or lower (৫ম পছন্দ বা তার নিচে)","3rd choice (৩য় পছন্দ)","2nd choice (২য় পছন্দ)","4th choice (৪র্থ পছন্দ)","1st choice (১ম পছন্দ)"}
@attribute DepartmentPreferenceOrder {"1st choice (১ম পছন্দ)","5th choice or lower (৫ম পছন্দ বা তার নিচে)","2nd choice (২য় পছন্দ)","3rd choice (৩য় পছন্দ)","4th choice (৪র্থ পছন্দ)"}
@attribute FatherEducation {"Postgraduate (Master's and above) (স্নাতকোত্তর বা তদূর্ধ্ব)","Higher Secondary (উচ্চ মাধ্যমিক/এইচএসসি)","Undergraduate (স্নাতক/অনার্স)","Secondary (মাধ্যমিক/এসএসসি)","Primary (প্রাথমিক)","No formal education (প্রাতিষ্ঠানিক শিক্ষা নেই)"}
@attribute MotherEducation {"Postgraduate (Master's and above) (স্নাতকোত্তর বা তদূর্ধ্ব)","Undergraduate (স্নাতক/অনার্স)","Higher Secondary (উচ্চ মাধ্যমিক/এইচএসসি)","No formal education (প্রাতিষ্ঠানিক শিক্ষা নেই)","Secondary (মাধ্যমিক/এসএসসি)","Primary (প্রাথমিক)"}
@attribute FatherEmploymentSector {"Public sector (সরকারি চাকরি)","Self-employed (স্বনিয়োজিত)","Armed forces / Law enforcement (সশস্ত্র বাহিনী)","Private sector (বেসরকারি চাকরি)","Business owner (ব্যবসা/উদ্যোক্তা)"}
@attribute MotherEmploymentSector {"Public sector (সরকারি চাকরি)","Homemaker (গৃহকর্মে নিয়োজিত)","Private sector (বেসরকারি চাকরি)","Self-employed (স্বনিয়োজিত)","Business owner (ব্যবসা/উদ্যোক্তা)","Armed forces / Law enforcement (সশস্ত্র বাহিনী)"}

@data
"EEE","NSU",2022,"Female (নারী)","Private (বেসরকারি)","Metropolitan city (বিভাগীয় শহর/মহানগর)","Private tuition/coaching (কোচিং সেন্টার/প্রাইভেট টিউটর)","Very regularly (90–100% attendance) (খুব নিয়মিত (৯০–১০০% উপস্থিতি))","190 - 200 (১৯০ - ২০০)","160 - 190 (১৬০ - ১৯০)","140 - 160 (১৪০ - ১৬০)","3 (৩)","First-child","Above 18 Lakhs (১৮ লাখের উপরে)","20,000 - 30,000 (২০,০০০ - ৩০,০০০)","WIFI Connectivity (উচ্চগতির ওয়াইফাই)","Available (সহজলভ্য)","3.25 - 3.50 (৩.২৫ - ৩.৫০)","5th choice or lower (৫ম পছন্দ বা তার নিচে)","1st choice (১ম পছন্দ)","Undergraduate (স্নাতক/অনার্স)","Undergraduate (স্নাতক/অনার্স)","Business owner (ব্যবসা/উদ্যোক্তা)","Homemaker (গৃহকর্মে নিয়োজিত)"
"Others","KUET",2021,"Male (পুরুষ)","Private (বেসরকারি)","Semi-urban area (আধা-নগর এলাকা)","Online Platforms / YouTube (অনলাইন প্ল্যাটফর্ম/ইউটিউব)","Regularly (75–89%) (নিয়মিত (৭৫–৮৯%))","160 - 190 (১৬০ - ১৯০)","160 - 190 (১৬০ - ১৯০)","160 - 190 (১৬০ - ১৯০)","4 - 5 (৪ - ৫)","First-child","5 - 10 Lakhs (৫ - ১০ লাখ)","5,000 - 10,000 (৫,০০০ - ১০,০০০)","Mobile Data (মোবাইল ডাটা)","Unavailable (ছিল না)","3.50 - 3.75 (৩.৫০ - ৩.৭৫)","3rd choice (৩য় পছন্দ)","5th choice or lower (৫ম পছন্দ বা তার নিচে)","Undergraduate (স্নাতক/অনার্স)","Undergraduate (স্নাতক/অনার্স)","Public sector (সরকারি চাকরি)","Homemaker (গৃহকর্মে নিয়োজিত)"
"EEE","KUET",2021,"Male (পুরুষ)","Public (সরকারি)","Urban area (City) (শহরাঞ্চল)","Both equally (উভয়ই সমানভাবে)","Occasionally (50–74%) (মাঝে মাঝে (৫০–৭৪%))","160 - 190 (১৬০ - ১৯০)","190 - 200 (১৯০ - ২০০)","160 - 190 (১৬০ - ১৯০)","4 - 5 (৪ - ৫)","First-child","5 - 10 Lakhs (৫ - ১০ লাখ)","10,000 - 20,000 (১০,০০০ - ২০,০০০)","Mobile Data with limited Access (সীমিত সুবিধা)","Unavailable (ছিল না)","Less than 3.00 (৩.০০ এর কম)","2nd choice (২য় পছন্দ)","5th choice or lower (৫ম পছন্দ বা তার নিচে)","Postgraduate (Master's and above) (স্নাতকোত্তর বা তদূর্ধ্ব)","Postgraduate (Master's and above) (স্নাতকোত্তর বা তদূর্ধ্ব)","Public sector (সরকারি চাকরি)","Homemaker (গৃহকর্মে নিয়োজিত)"
"Others","RUET",2022,"Male (পুরুষ)","Public (সরকারি)","Rural area (Village) (গ্রামাঞ্চল)","College classes (কলেজ ক্লাস)","Rarely (25–49%) (কদাচিৎ / খুব কম (২৫–৪৯%))","160 - 190 (১৬০ - ১৯০)","160 - 190 (১৬০ - ১৯০)","160 - 190 (১৬০ - ১৯০)","4 - 5 (৪ - ৫)","First-child","Less than 5  Lakhs (৫ লাখের কম)","Less than 5,000 (৫,০০০ এর কম)","Unavailable (ইন্টারনেট সুবিধা ছিল না)","Unavailable (ছিল না)","Less than 3.00 (৩.০০ এর কম)","3rd choice (৩য় পছন্দ)","5th choice or lower (৫ম পছন্দ বা তার নিচে)","Higher Secondary (উচ্চ মাধ্যমিক/এইচএসসি)","No formal education (প্রাতিষ্ঠানিক শিক্ষা নেই)","Self-employed (স্বনিয়োজিত)","Homemaker (গৃহকর্মে নিয়োজিত)"
"CE","IUBAT",2021,"Male (পুরুষ)","Private (বেসরকারি)","Metropolitan city (বিভাগীয় শহর/মহানগর)","Both equally (উভয়ই সমানভাবে)","Very regularly (90–100% attendance) (খুব নিয়মিত (৯০–১০০% উপস্থিতি))","160 - 190 (১৬০ - ১৯০)","160 - 190 (১৬০ - ১৯০)","160 - 190 (১৬০ - ১৯০)","6 - 7 (৬ - ৭)","Middle child","Above 18 Lakhs (১৮ লাখের উপরে)","10,000 - 20,000 (১০,০০০ - ২০,০০০)","WIFI Connectivity (উচ্চগতির ওয়াইফাই)","Unavailable (ছিল না)","Above 3.75 (৩.৭৫ এর উপরে)","5th choice or lower (৫ম পছন্দ বা তার নিচে)","5th choice or lower (৫ম পছন্দ বা তার নিচে)","Secondary (মাধ্যমিক/এসএসসি)","Secondary (মাধ্যমিক/এসএসসি)","Business owner (ব্যবসা/উদ্যোক্তা)","Homemaker (গৃহকর্মে নিয়োজিত)"
"ME","KUET",2021,"Male (পুরুষ)","Private (বেসরকারি)","Rural area (Village) (গ্রামাঞ্চল)","Self-study (স্ব-অধ্যয়ন)","Very regularly (90–100% attendance) (খুব নিয়মিত (৯০–১০০% উপস্থিতি))","190 - 200 (১৯০ - ২০০)","190 - 200 (১৯০ - ২০০)","190 - 200 (১৯০ - ২০০)","4 - 5 (৪ - ৫)","First-child","5 - 10 Lakhs (৫ - ১০ লাখ)","5,000 - 10,000 (৫,০০০ - ১০,০০০)","Unavailable (ইন্টারনেট সুবিধা ছিল না)","Unavailable (ছিল না)","3.25 - 3.50 (৩.২৫ - ৩.৫০)","2nd choice (২য় পছন্দ)","2nd choice (২য় পছন্দ)","Postgraduate (Master's and above) (স্নাতকোত্তর বা তদূর্ধ্ব)","Undergraduate (স্নাতক/অনার্স)","Public sector (সরকারি চাকরি)","Homemaker (গৃহকর্মে নিয়োজিত)"
"EEE","CU",2021,"Male (পুরুষ)","Public (সরকারি)","Semi-urban area (আধা-নগর এলাকা)","Both equally (উভয়ই সমানভাবে)","Regularly (75–89%) (নিয়মিত (৭৫–৮৯%))","160 - 190 (১৬০ - ১৯০)","160 - 190 (১৬০ - ১৯০)","160 - 190 (১৬০ - ১৯০)","6 - 7 (৬ - ৭)","Middle child","10- 18 Lakhs (১০ - ১৮ লাখ)","10,000 - 20,000 (১০,০০০ - ২০,০০০)","WIFI Connectivity (উচ্চগতির ওয়াইফাই)","Available (সহজলভ্য)","3.50 - 3.75 (৩.৫০ - ৩.৭৫)","1st choice (১ম পছন্দ)","2nd choice (২য় পছন্দ)","Postgraduate (Master's and above) (স্নাতকোত্তর বা তদূর্ধ্ব)","Undergraduate (স্নাতক/অনার্স)","Self-employed (স্বনিয়োজিত)","Homemaker (গৃহকর্মে নিয়োজিত)"
"CSE","NSU",2023,"Female (নারী)","Private (বেসরকারি)","Metropolitan city (বিভাগীয় শহর/মহানগর)","Private tuition/coaching (কোচিং সেন্টার/প্রাইভেট টিউটর)","Regularly (75–89%) (নিয়মিত (৭৫–৮৯%))","160 - 190 (১৬০ - ১৯০)","160 - 190 (১৬০ - ১৯০)","160 - 190 (১৬০ - ১৯০)","4 - 5 (৪ - ৫)","Last Child","Above 18 Lakhs (১৮ লাখের উপরে)","Above 30,000 (৩০,০০০ এর উপরে)","WIFI Connectivity (উচ্চগতির ওয়াইফাই)","Available (সহজলভ্য)","Above 3.75 (৩.৭৫ এর উপরে)","5th choice or lower (৫ম পছন্দ বা তার নিচে)","1st choice (১ম পছন্দ)","Postgraduate (Master's and above) (স্নাতকোত্তর বা তদূর্ধ্ব)","Undergraduate (স্নাতক/অনার্স)","Business owner (ব্যবসা/উদ্যোক্তা)","Homemaker (গৃহকর্মে নিয়োজিত)"
"Others","BRAC",2022,"Female (নারী)","Private (বেসরকারি)","Metropolitan city (বিভাগীয় শহর/মহানগর)","Both equally (উভয়ই সমানভাবে)","Regularly (75–89%) (নিয়মিত (৭৫–৮৯%))","190 - 200 (১৯০ - ২০০)","190 - 200 (১৯০ - ২০০)","160 - 190 (১৬০ - ১৯০)","6 - 7 (৬ - ৭)","First-child","Less than 5  Lakhs (৫ লাখের কম)","5,000 - 10,000 (৫,০০০ - ১০,০০০)","WIFI Connectivity (উচ্চগতির ওয়াইফাই)","Available (সহজলভ্য)","3.25 - 3.50 (৩.২৫ - ৩.৫০)","1st choice (১ম পছন্দ)","2nd choice (২য় পছন্দ)","Postgraduate (Master's and above) (স্নাতকোত্তর বা তদূর্ধ্ব)","Postgraduate (Master's and above) (স্নাতকোত্তর বা তদূর্ধ্ব)","Private sector (বেসরকারি চাকরি)","Homemaker (গৃহকর্মে নিয়োজিত)"
"Others","BRAC",2023,"Female (নারী)","Private (বেসরকারি)","Urban area (City) (শহরাঞ্চল)","Private tuition/coaching (কোচিং সেন্টার/প্রাইভেট টিউটর)","Very rarely (Below 25%) (খুবই কম (২৫%-এর নিচে))","190 - 200 (১৯০ - ২০০)","190 - 200 (১৯০ - ২০০)","190 - 200 (১৯০ - ২০০)","4 - 5 (৪ - ৫)","First-child","5 - 10 Lakhs (৫ - ১০ লাখ)","20,000 - 30,000 (২০,০০০ - ৩০,০০০)","WIFI Connectivity (উচ্চগতির ওয়াইফাই)","Available (সহজলভ্য)","Above 3.75 (৩.৭৫ এর উপরে)","2nd choice (২য় পছন্দ)","1st choice (১ম পছন্দ)","Undergraduate (স্নাতক/অনার্স)","Postgraduate (Master's and above) (স্নাতকোত্তর বা তদূর্ধ্ব)","Business owner (ব্যবসা/উদ্যোক্তা)","Homemaker (গৃহকর্মে নিয়োজিত)"
"Others","BRAC",2022,"Male (পুরুষ)","Public (সরকারি)","Urban area (City) (শহরাঞ্চল)","Self-study (স্ব-অধ্যয়ন)","Regularly (75–89%) (নিয়মিত (৭৫–৮৯%))","160 - 190 (১৬০ - ১৯০)","160 - 190 (১৬০ - ১৯০)","140 - 160 (১৪০ - ১৬০)","4 - 5 (৪ - ৫)","First-child","10- 18 Lakhs (১০ - ১৮ লাখ)","Less than 5,000 (৫,০০০ এর কম)","WIFI Connectivity (উচ্চগতির ওয়াইফাই)","Available (সহজলভ্য)","Less than 3.00 (৩.০০ এর কম)","2nd choice (২য় পছন্দ)","1st choice (১ম পছন্দ)","Postgraduate (Master's and above) (স্নাতকোত্তর বা তদূর্ধ্ব)","Postgraduate (Master's and above) (স্নাতকোত্তর বা তদূর্ধ্ব)","Public sector (সরকারি চাকরি)","Homemaker (গৃহকর্মে নিয়োজিত)"
"CSE","CU",2021,"Male (পুরুষ)","Public (সরকারি)","Urban area (City) (শহরাঞ্চল)","Self-study (স্ব-অধ্যয়ন)","Occasionally (50–74%) (মাঝে মাঝে (৫০–৭৪%))","160 - 190 (১৬০ - ১৯০)","160 - 190 (১৬০ - ১৯০)","160 - 190 (১৬০ - ১৯০)","6 - 7 (৬ - ৭)","Last Child","Less than 5  Lakhs (৫ লাখের কম)","10,000 - 20,000 (১০,০০০ - ২০,০০০)","Mobile Data (মোবাইল ডাটা)","Unavailable (ছিল না)","3.25 - 3.50 (৩.২৫ - ৩.৫০)","5th choice or lower (৫ম পছন্দ বা তার নিচে)","3rd choice (৩য় পছন্দ)","Primary (প্রাথমিক)","No formal education (প্রাতিষ্ঠানিক শিক্ষা নেই)","Self-employed (স্বনিয়োজিত)","Homemaker (গৃহকর্মে নিয়োজিত)"
"Others","BRAC",2023,"Female (নারী)","Private (বেসরকারি)","Metropolitan city (বিভাগীয় শহর/মহানগর)","Private tuition/coaching (কোচিং সেন্টার/প্রাইভেট টিউটর)","Very regularly (90–100% attendance) (খুব নিয়মিত (৯০–১০০% উপস্থিতি))","160 - 190 (১৬০ - ১৯০)","160 - 190 (১৬০ - ১৯০)","190 - 200 (১৯০ - ২০০)","6 - 7 (৬ - ৭)","Last Child","Less than 5  Lakhs (৫ লাখের কম)","20,000 - 30,000 (২০,০০০ - ৩০,০০০)","WIFI Connectivity (উচ্চগতির ওয়াইফাই)","Available (সহজলভ্য)","3.50 - 3.75 (৩.৫০ - ৩.৭৫)","1st choice (১ম পছন্দ)","2nd choice (২য় পছন্দ)","Undergraduate (স্নাতক/অনার্স)","Undergraduate (স্নাতক/অনার্স)","Private sector (বেসরকারি চাকরি)","Homemaker (গৃহকর্মে নিয়োজিত)"
"CSE","SEU",2021,"Male (পুরুষ)","Public (সরকারি)","Urban area (City) (শহরাঞ্চল)","Self-study (স্ব-অধ্যয়ন)","Very regularly (90–100% attendance) (খুব নিয়মিত (৯০–১০০% উপস্থিতি))","< 120 (< ১২০)","120 - 140 (১২০ - ১৪০)","120 - 140 (১২০ - ১৪০)","4 - 5 (৪ - ৫)","Middle child","Less than 5  Lakhs (৫ লাখের কম)","20,000 - 30,000 (২০,০০০ - ৩০,০০০)","Mobile Data (মোবাইল ডাটা)","Unavailable (ছিল না)","Less than 3.00 (৩.০০ এর কম)","1st choice (১ম পছন্দ)","1st choice (১ম পছন্দ)","Secondary (মাধ্যমিক/এসএসসি)","Secondary (মাধ্যমিক/এসএসসি)","Private sector (বেসরকারি চাকরি)","Homemaker (গৃহকর্মে নিয়োজিত)"
"CSE","SEU",2021,"Male (পুরুষ)","Private (বেসরকারি)","Urban area (City) (শহরাঞ্চল)","Self-study (স্ব-অধ্যয়ন)","Regularly (75–89%) (নিয়মিত (৭৫–৮৯%))","160 - 190 (১৬০ - ১৯০)","160 - 190 (১৬০ - ১৯০)","160 - 190 (১৬০ - ১৯০)","4 - 5 (৪ - ৫)","First-child","Less than 5  Lakhs (৫ লাখের কম)","Less than 5,000 (৫,০০০ এর কম)","WIFI Connectivity (উচ্চগতির ওয়াইফাই)","Available (সহজলভ্য)","Above 3.75 (৩.৭৫ এর উপরে)","5th choice or lower (৫ম পছন্দ বা তার নিচে)","1st choice (১ম পছন্দ)","Undergraduate (স্নাতক/অনার্স)","Undergraduate (স্নাতক/অনার্স)","Business owner (ব্যবসা/উদ্যোক্তা)","Homemaker (গৃহকর্মে নিয়োজিত)"
"Others","SEU",2021,"Male (পুরুষ)","Public (সরকারি)","Urban area (City) (শহরাঞ্চল)","Both equally (উভয়ই সমানভাবে)","Regularly (75–89%) (নিয়মিত (৭৫–৮৯%))","160 - 190 (১৬০ - ১৯০)","140 - 160 (১৪০ - ১৬০)","160 - 190 (১৬০ - ১৯০)","4 - 5 (৪ - ৫)","Middle child","5 - 10 Lakhs (৫ - ১০ লাখ)","5,000 - 10,000 (৫,০০০ - ১০,০০০)","WIFI Connectivity (উচ্চগতির ওয়াইফাই)","Available (সহজলভ্য)","3.50 - 3.75 (৩.৫০ - ৩.৭৫)","3rd choice (৩য় পছন্দ)","1st choice (১ম পছন্দ)","Higher Secondary (উচ্চ মাধ্যমিক/এইচএসসি)","Secondary (মাধ্যমিক/এসএসসি)","Private sector (বেসরকারি চাকরি)","Homemaker (গৃহকর্মে নিয়োজিত)"
"Others","NSU",2021,"Male (পুরুষ)","Private (বেসরকারি)","Metropolitan city (বিভাগীয় শহর/মহানগর)","Private tuition/coaching (কোচিং সেন্টার/প্রাইভেট টিউটর)","Very rarely (Below 25%) (খুবই কম (২৫%-এর নিচে))","160 - 190 (১৬০ - ১৯০)","160 - 190 (১৬০ - ১৯০)","140 - 160 (১৪০ - ১৬০)","4 - 5 (৪ - ৫)","Last Child","Less than 5  Lakhs (৫ লাখের কম)","10,000 - 20,000 (১০,০০০ - ২০,০০০)","WIFI Connectivity (উচ্চগতির ওয়াইফাই)","Available (সহজলভ্য)","3.00 - 3.25 (৩.০০ - ৩.২৫)","3rd choice (৩য় পছন্দ)","3rd choice (৩য় পছন্দ)","Higher Secondary (উচ্চ মাধ্যমিক/এইচএসসি)","Higher Secondary (উচ্চ মাধ্যমিক/এইচএসসি)","Self-employed (স্বনিয়োজিত)","Homemaker (গৃহকর্মে নিয়োজিত)"
"Others","CU",2021,"Male (পুরুষ)","Private (বেসরকারি)","Urban area (City) (শহরাঞ্চল)","Both equally (উভয়ই সমানভাবে)","Very regularly (90–100% attendance) (খুব নিয়মিত (৯০–১০০% উপস্থিতি))","160 - 190 (১৬০ - ১৯০)","160 - 190 (১৬০ - ১৯০)","160 - 190 (১৬০ - ১৯০)","3 (৩)","Last Child","Less than 5  Lakhs (৫ লাখের কম)","5,000 - 10,000 (৫,০০০ - ১০,০০০)","WIFI Connectivity (উচ্চগতির ওয়াইফাই)","Unavailable (ছিল না)","3.50 - 3.75 (৩.৫০ - ৩.৭৫)","3rd choice (৩য় পছন্দ)","5th choice or lower (৫ম পছন্দ বা তার নিচে)","Higher Secondary (উচ্চ মাধ্যমিক/এইচএসসি)","Higher Secondary (উচ্চ মাধ্যমিক/এইচএসসি)","Private sector (বেসরকারি চাকরি)","Homemaker (গৃহকর্মে নিয়োজিত)"
"EEE","CU",2022,"Male (পুরুষ)","Private (বেসরকারি)","Metropolitan city (বিভাগীয় শহর/মহানগর)","Private tuition/coaching (কোচিং সেন্টার/প্রাইভেট টিউটর)","Regularly (75–89%) (নিয়মিত (৭৫–৮৯%))","190 - 200 (১৯০ - ২০০)","190 - 200 (১৯০ - ২০০)","160 - 190 (১৬০ - ১৯০)","3 (৩)","First-child","5 - 10 Lakhs (৫ - ১০ লাখ)","10,000 - 20,000 (১০,০০০ - ২০,০০০)","WIFI Connectivity (উচ্চগতির ওয়াইফাই)","Available (সহজলভ্য)","Above 3.75 (৩.৭৫ এর উপরে)","1st choice (১ম পছন্দ)","1st choice (১ম পছন্দ)","Postgraduate (Master's and above) (স্নাতকোত্তর বা তদূর্ধ্ব)","Postgraduate (Master's and above) (স্নাতকোত্তর বা তদূর্ধ্ব)","Private sector (বেসরকারি চাকরি)","Private sector (বেসরকারি চাকরি)"
"EEE","SEU",2022,"Male (পুরুষ)","Public (সরকারি)","Urban area (City) (শহরাঞ্চল)","Private tuition/coaching (কোচিং সেন্টার/প্রাইভেট টিউটর)","Occasionally (50–74%) (মাঝে মাঝে (৫০–৭৪%))","190 - 200 (১৯০ - ২০০)","190 - 200 (১৯০ - ২০০)","190 - 200 (১৯০ - ২০০)","3 (৩)","First-child","Less than 5  Lakhs (৫ লাখের কম)","Less than 5,000 (৫,০০০ এর কম)","WIFI Connectivity (উচ্চগতির ওয়াইফাই)","Unavailable (ছিল না)","Above 3.75 (৩.৭৫ এর উপরে)","1st choice (১ম পছন্দ)","3rd choice (৩য় পছন্দ)","Undergraduate (স্নাতক/অনার্স)","Undergraduate (স্নাতক/অনার্স)","Public sector (সরকারি চাকরি)","Homemaker (গৃহকর্মে নিয়োজিত)"
"Others","CU",2022,"Male (পুরুষ)","Public (সরকারি)","Semi-urban area (আধা-নগর এলাকা)","Both equally (উভয়ই সমানভাবে)","Rarely (25–49%) (কদাচিৎ / খুব কম (২৫–৪৯%))","190 - 200 (১৯০ - ২০০)","160 - 190 (১৬০ - ১৯০)","160 - 190 (১৬০ - ১৯০)","3 (৩)","First-child","Less than 5  Lakhs (৫ লাখের কম)","Less than 5,000 (৫,০০০ এর কম)","Mobile Data with limited Access (সীমিত সুবিধা)","Unavailable (ছিল না)","Above 3.75 (৩.৭৫ এর উপরে)","1st choice (১ম পছন্দ)","1st choice (১ম পছন্দ)","Secondary (মাধ্যমিক/এসএসসি)","Secondary (মাধ্যমিক/এসএসসি)","Private sector (বেসরকারি চাকরি)","Homemaker (গৃহকর্মে নিয়োজিত)"
"CSE","SEU",2021,"Male (পুরুষ)","Private (বেসরকারি)","Metropolitan city (বিভাগীয় শহর/মহানগর)","Both equally (উভয়ই সমানভাবে)","Regularly (75–89%) (নিয়মিত (৭৫–৮৯%))","190 - 200 (১৯০ - ২০০)","190 - 200 (১৯০ - ২০০)","190 - 200 (১৯০ - ২০০)","6 - 7 (৬ - ৭)","Last Child","Above 18 Lakhs (১৮ লাখের উপরে)","Less than 5,000 (৫,০০০ এর কম)","WIFI Connectivity (উচ্চগতির ওয়াইফাই)","Unavailable (ছিল না)","3.00 - 3.25 (৩.০০ - ৩.২৫)","1st choice (১ম পছন্দ)","4th choice (৪র্থ পছন্দ)","Postgraduate (Master's and above) (স্নাতকোত্তর বা তদূর্ধ্ব)","Undergraduate (স্নাতক/অনার্স)","Private sector (বেসরকারি চাকরি)","Homemaker (গৃহকর্মে নিয়োজিত)"
"Others","CU",2020,"Male (পুরুষ)","Public (সরকারি)","Rural area (Village) (গ্রামাঞ্চল)","College classes (কলেজ ক্লাস)","Very regularly (90–100% attendance) (খুব নিয়মিত (৯০–১০০% উপস্থিতি))","190 - 200 (১৯০ - ২০০)","190 - 200 (১৯০ - ২০০)","190 - 200 (১৯০ - ২০০)","8 and above (৮ এবং তদূর্ধ্ব)","First-child","Above 18 Lakhs (১৮ লাখের উপরে)","Above 30,000 (৩০,০০০ এর উপরে)","WIFI Connectivity (উচ্চগতির ওয়াইফাই)","Available (সহজলভ্য)","Above 3.75 (৩.৭৫ এর উপরে)","1st choice (১ম পছন্দ)","1st choice (১ম পছন্দ)","Postgraduate (Master's and above) (স্নাতকোত্তর বা তদূর্ধ্ব)","Postgraduate (Master's and above) (স্নাতকোত্তর বা তদূর্ধ্ব)","Public sector (সরকারি চাকরি)","Homemaker (গৃহকর্মে নিয়োজিত)"
"Others","CU",2021,"Female (নারী)","Public (সরকারি)","Urban area (City) (শহরাঞ্চল)","Self-study (স্ব-অধ্যয়ন)","Regularly (75–89%) (নিয়মিত (৭৫–৮৯%))","160 - 190 (১৬০ - ১৯০)","160 - 190 (১৬০ - ১৯০)","160 - 190 (১৬০ - ১৯০)","4 - 5 (৪ - ৫)","Middle child","5 - 10 Lakhs (৫ - ১০ লাখ)","10,000 - 20,000 (১০,০০০ - ২০,০০০)","WIFI Connectivity (উচ্চগতির ওয়াইফাই)","Unavailable (ছিল না)","3.50 - 3.75 (৩.৫০ - ৩.৭৫)","1st choice (১ম পছন্দ)","5th choice or lower (৫ম পছন্দ বা তার নিচে)","Postgraduate (Master's and above) (স্নাতকোত্তর বা তদূর্ধ্ব)","Postgraduate (Master's and above) (স্নাতকোত্তর বা তদূর্ধ্ব)","Public sector (সরকারি চাকরি)","Homemaker (গৃহকর্মে নিয়োজিত)"
"CSE","KUET",2021,"Male (পুরুষ)","Public (সরকারি)","Urban area (City) (শহরাঞ্চল)","Private tuition/coaching (কোচিং সেন্টার/প্রাইভেট টিউটর)","Rarely (25–49%) (কদাচিৎ / খুব কম (২৫–৪৯%))","190 - 200 (১৯০ - ২০০)","190 - 200 (১৯০ - ২০০)","190 - 200 (১৯০ - ২০০)","8 and above (৮ এবং তদূর্ধ্ব)","Last Child","Above 18 Lakhs (১৮ লাখের উপরে)","5,000 - 10,000 (৫,০০০ - ১০,০০০)","WIFI Connectivity (উচ্চগতির ওয়াইফাই)","Available (সহজলভ্য)","3.00 - 3.25 (৩.০০ - ৩.২৫)","5th choice or lower (৫ম পছন্দ বা তার নিচে)","1st choice (১ম পছন্দ)","Postgraduate (Master's and above) (স্নাতকোত্তর বা তদূর্ধ্ব)","Undergraduate (স্নাতক/অনার্স)","Public sector (সরকারি চাকরি)","Public sector (সরকারি চাকরি)"
